prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,1024,64,256,45.984
16,1024,64,512,61.952
16,1024,64,1024,97.92
16,1024,64,2048,166.305
16,1024,64,4096,301.825
16,1024,64,8192,580.224
16,1024,64,16384,1140.74
16,1024,128,16,42.88
16,1024,128,32,43.616
16,1024,128,64,44.961
16,1024,128,128,57.696
16,1024,128,256,73.408
16,1024,128,512,104.032
16,1024,128,1024,178.912
16,1024,128,2048,309.825
16,1024,128,4096,580.802
16,1024,128,8192,1135.36
16,1024,128,16384,2248.55
16,2048,0,0,18.688
16,2048,1,16,18.944
16,2048,1,32,18.72
16,2048,1,64,18.912
16,2048,1,128,18.496
16,2048,1,256,18.592
16,2048,1,512,19.328
16,2048,1,1024,19.52
16,2048,1,2048,20.576
16,2048,1,4096,22.24
16,2048,1,8192,27.296
16,2048,1,16384,37.344
16,2048,2,16,18.848
16,2048,2,32,18.784
16,2048,2,64,18.912
16,2048,2,128,19.168
16,2048,2,256,18.912
16,2048,2,512,18.72
16,2048,2,1024,20.544
16,2048,2,2048,22.4
16,2048,2,4096,29.28
16,2048,2,8192,35.968
16,2048,2,16384,54.208
16,2048,4,16,19.072
16,2048,4,32,19.296
16,2048,4,64,19.168
16,2048,4,128,19.616
16,2048,4,256,23.296
16,2048,4,512,20.416
16,2048,4,1024,24.416
16,2048,4,2048,28.64
16,2048,4,4096,43.713
16,2048,4,8192,69.183
16,2048,4,16384,110.209
16,2048,8,16,21.696
16,2048,8,32,22.144
16,2048,8,64,21.664
16,2048,8,128,20.608
16,2048,8,256,22.144
16,2048,8,512,25.888
16,2048,8,1024,32.959
16,2048,8,2048,46.4
16,2048,8,4096,72.704
16,2048,8,8192,109.504
16,2048,8,16384,173.888
16,2048,16,16,21.376
16,2048,16,32,21.504
16,2048,16,64,21.825
16,2048,16,128,24.576
16,2048,16,256,28.352
16,2048,16,512,35.136
16,2048,16,1024,48.704
16,2048,16,2048,73.6
16,2048,16,4096,111.68
16,2048,16,8192,180.128
16,2048,16,16384,315.168
16,2048,32,16,25.728
16,2048,32,32,25.632
16,2048,32,64,26.528
16,2048,32,128,30.464
16,2048,32,256,36.865
16,2048,32,512,47.009
16,2048,32,1024,65.729
16,2048,32,2048,93.632
16,2048,32,4096,163.489
16,2048,32,8192,303.776
16,2048,32,16384,586.209
16,2048,64,16,31.904
16,2048,64,32,32.64
16,2048,64,64,32.703
16,2048,64,128,42.208
16,2048,64,256,52.448
16,2048,64,512,67.68
16,2048,64,1024,98.848
16,2048,64,2048,169.217
16,2048,64,4096,304.897
16,2048,64,8192,581.152
16,2048,64,16384,1142.56
16,2048,128,16,44.832
16,2048,128,32,44.96
16,2048,128,64,46.72
16,2048,128,128,59.04
16,2048,128,256,73.824
16,2048,128,512,107.04
16,2048,128,1024,177.217
16,2048,128,2048,314.336
16,2048,128,4096,585.536
16,2048,128,8192,1138.72
16,2048,128,16384,2247.43
16,4096,0,0,21.824
16,4096,1,16,21.92
16,4096,1,32,21.856
16,4096,1,64,21.664
16,4096,1,128,21.984
16,4096,1,256,22.336
16,4096,1,512,22.656
16,4096,1,1024,24.864
16,4096,1,2048,24.386
16,4096,1,4096,25.088
16,4096,1,8192,29.248
16,4096,1,16384,38.912
16,4096,2,16,21.792
16,4096,2,32,22.176
16,4096,2,64,21.824
16,4096,2,128,22.337
16,4096,2,256,23.744
16,4096,2,512,22.848
16,4096,2,1024,23.264
16,4096,2,2048,24.8
16,4096,2,4096,29.408
16,4096,2,8192,40.864
16,4096,2,16384,56.256
16,4096,4,16,22.368
16,4096,4,32,22.464
16,4096,4,64,22.912
16,4096,4,128,22.976
16,4096,4,256,26.112
16,4096,4,512,24.544
16,4096,4,1024,25.664
16,4096,4,2048,36.48
16,4096,4,4096,39.264
16,4096,4,8192,70.4
16,4096,4,16384,123.936
16,4096,8,16,23.008
16,4096,8,32,23.808
16,4096,8,64,23.456
16,4096,8,128,25.312
16,4096,8,256,25.568
16,4096,8,512,26.528
16,4096,8,1024,33.888
16,4096,8,2048,46.624
16,4096,8,4096,71.84
16,4096,8,8192,126.144
16,4096,8,16384,193.056
16,4096,16,16,23.52
16,4096,16,32,24.256
16,4096,16,64,23.968
