layer,tokens,time_us
down_proj,7168,915.371
down_proj,7184,931.52
down_proj,7200,927.787
down_proj,7216,928.736
down_proj,7232,921.963
down_proj,7248,931.479
down_proj,7264,918.989
down_proj,7280,932.983
down_proj,7296,916.459
down_proj,7312,962.166
down_proj,7328,990.722
down_proj,7344,974.381
down_proj,7360,988.311
down_proj,7376,962.329
down_proj,7392,927.159
down_proj,7408,943.735
down_proj,7424,984.502
down_proj,7440,955.957
down_proj,7456,977.016
down_proj,7472,952.32
down_proj,7488,984.226
down_proj,7504,976.417
down_proj,7520,980.771
down_proj,7536,977.782
down_proj,7552,992.404
down_proj,7568,977.357
down_proj,7584,973.867
down_proj,7600,974.539
down_proj,7616,989.803
down_proj,7632,975.809
down_proj,7648,975.904
down_proj,7664,976.001
down_proj,7680,985.589
down_proj,7696,999.009
down_proj,7712,993.281
down_proj,7728,981.75
down_proj,7744,1098.09
down_proj,7760,991.01
down_proj,7776,989.667
down_proj,7792,982.879
down_proj,7808,1079.1
down_proj,7824,989.174
down_proj,7840,977.806
down_proj,7856,993.517
down_proj,7872,1088.63
down_proj,7888,996.076
down_proj,7904,1084.76
down_proj,7920,982.496
down_proj,7936,1082.97
down_proj,7952,1079.72
down_proj,7968,1074.36
down_proj,7984,1077.81
down_proj,8000,1077.53
down_proj,8016,1089.69
down_proj,8032,1085.71
down_proj,8048,1086.47
down_proj,8064,1086.74
down_proj,8080,1044.71
down_proj,8096,1050.57
down_proj,8112,1035.8
down_proj,8128,1045.76
down_proj,8144,1025.39
down_proj,8160,1042
down_proj,8176,1032.96
down_proj,8192,1045.2
embedding,1,3.47733
embedding,2,3.57333
embedding,3,3.808
embedding,4,3.91467
embedding,5,4.30933
embedding,6,4.512
embedding,7,4.82133
embedding,8,5.06667
embedding,9,5.45067
embedding,10,5.67467
embedding,11,5.90933
embedding,12,6.13333
embedding,13,6.53867
embedding,14,6.76267
embedding,15,7.09333
embedding,16,7.264
embedding,20,2.85867
embedding,24,2.77333
embedding,28,2.784
embedding,32,2.70933
embedding,36,2.82667
embedding,40,2.80533
embedding,44,2.848
embedding,48,2.89067
embedding,52,2.92267
embedding,56,2.77333
embedding,60,2.86933
embedding,64,2.88
embedding,80,2.93333
embedding,96,2.976
embedding,112,3.18933
embedding,128,3.104
embedding,144,3.37067
embedding,160,3.52
embedding,176,3.49867
embedding,192,3.46667
embedding,208,3.456
embedding,224,3.56267
embedding,240,3.59467
embedding,256,3.584
embedding,272,3.82933
embedding,288,3.86133
embedding,304,3.98933
embedding,320,3.95733
embedding,336,3.91467
embedding,352,4.01067
embedding,368,4.032
embedding,384,4.096
embedding,400,4.45867
embedding,416,4.43733
embedding,432,4.45867
embedding,448,4.58667
embedding,464,4.56533
embedding,480,4.55467
embedding,496,4.77867
embedding,512,4.72533
embedding,528,4.75733
embedding,544,4.97067
embedding,560,4.93867
embedding,576,4.97067
embedding,592,5.13067
embedding,608,5.19467
embedding,624,5.152
embedding,640,5.20533
embedding,656,5.216
embedding,672,5.29067
embedding,688,5.32267
embedding,704,5.472
embedding,720,5.36533
embedding,736,5.42933
embedding,752,5.504
embedding,768,5.55733
embedding,784,5.57867
embedding,800,5.568
embedding,816,5.54667
embedding,832,5.61067
embedding,848,5.568
embedding,864,5.58933
embedding,880,5.632
embedding,896,5.728
embedding,912,5.74933
embedding,928,5.68533
embedding,944,5.792
embedding,960,5.888
embedding,976,5.77067
embedding,992,5.76
embedding,1008,5.83467
embedding,1024,5.83467
embedding,1040,6.048
embedding,1056,5.952
embedding,1072,6.24
embedding,1088,6.24033
