test_scenario,feature,classifier_logloss_increase,positive_log_mae_increase,composite_mae_increase_ms
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,global_arrivals_5s,-0.00012486252145068807,-0.016719380771497927,-23.957518776137306
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,home_arrivals_1s,0.00015703689927154887,0.020128361915847215,6.358080115253983
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,home_arrivals_5s,0.0001610015064499072,-0.018185181453455712,-19.63867710240274
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,home_workload_share,0.00042916355035044554,-0.022422050690052875,-16.363905948773834
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,policy,0.0009634799053946513,0.01254487974924201,8.208143539930802
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,rerouted,-0.003320997575620977,-0.012380859007574685,-22.807727197655083
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,kv_moved,0.000251907038617237,0.0,-0.025445164128029774
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,migration_tokens_realized,0.0003561705634976403,0.0,-0.0003226207951456672
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,router_initial_waiting_reqs,2.7936525886992913e-05,0.002639712731704047,3.061652536676803
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,router_initial_running_reqs,0.00020696255363483393,0.0,-2.2148786596359002
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,router_initial_required_kv_bytes,0.0023312924549697307,0.003053478574198576,-0.994685706697652
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,router_initial_available_kv_bytes,0.002630281363809644,-2.5377933499048932e-05,-0.5063396146960031
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,router_initial_projected_active_kv_bytes,0.002630281363809644,0.0,-0.49247969274640013
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,router_initial_capacity_pressure,0.002773514951760276,-0.012057473692968279,-10.095491940589511
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,router_initial_slot_pressure,0.00020696255363394922,0.0,-2.214878659636014
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,router_initial_admissible_candidate_count,0.001806465931989732,-0.027804535638242533,-17.082549999771885
